OncotreeLineage,n_query_cna,n_query_damaging_mutation,n_query_expression,n_query_hotspot_mutation,n_episodes
Lung,1.3636363636363635,1.309090909090909,11.690909090909091,0.8545454545454545,55
Lymphoid,1.6851851851851851,1.3888888888888888,11.203703703703704,0.6851851851851852,54
Bowel,1.4,1.3,10.6,0.525,40
CNS/Brain,1.5,1.236842105263158,10.5,0.5789473684210527,38
Bone,1.3636363636363635,1.0909090909090908,12.181818181818182,0.8787878787878788,33
Esophagus/Stomach,0.9333333333333333,1.3333333333333333,11.033333333333333,0.6333333333333333,30
Uterus,1.103448275862069,1.1379310344827587,10.448275862068966,0.4482758620689655,29
Thyroid,0.9130434782608695,1.0869565217391304,9.695652173913043,0.7391304347826086,23
Bladder/Urinary Tract,0.8260869565217391,1.0,10.217391304347826,0.43478260869565216,23
Head and Neck,1.2173913043478262,1.0869565217391304,9.434782608695652,0.21739130434782608,23
Soft Tissue,1.4090909090909092,1.1363636363636365,9.954545454545455,0.8181818181818182,22
Breast,1.2380952380952381,1.7619047619047619,11.571428571428571,0.8095238095238095,21
Skin,1.4736842105263157,1.3157894736842106,12.631578947368421,0.631578947368421,19
Liver,1.0666666666666667,0.8,9.533333333333333,0.5333333333333333,15
Myeloid,1.7333333333333334,1.4666666666666666,13.466666666666667,0.4,15
Peripheral Nervous System,1.3333333333333333,1.75,10.666666666666666,1.0,12
Ovary/Fallopian Tube,3.090909090909091,1.2727272727272727,12.727272727272727,0.5454545454545454,11
Kidney,1.3636363636363635,1.1818181818181819,8.818181818181818,0.2727272727272727,11
Pancreas,0.5,0.2,9.7,0.1,10
Testis,1.5,1.625,12.25,0.375,8
Cervix,1.0,1.4,10.6,1.0,5
Pleura,1.3333333333333333,1.0,11.0,0.6666666666666666,3
